,num bidders,avg rev
0,2.0,2.8142849891224593
1,3.0,4.970985817722678
2,4.0,6.9
3,5.0,9.033714629099151
4,6.0,11.169673227091291
5,7.0,13.413959147097474
6,8.0,15.782623356083741
7,9.0,17.16
8,10.0,18.436078758781655
9,11.0,18.805262561315118
10,12.0,21.4427889977027
11,13.0,22.390473420631373
12,14.0,23.60985811054357
13,15.0,23.85757741263769
14,16.0,25.76
15,17.0,26.635262341490087
16,18.0,27.83172290750251
17,19.0,27.940542228095723
18,20.0,29.7844254602972
19,21.0,30.428302614506773
20,22.0,31.472689748415213
21,23.0,31.2208632167658
22,24.0,33.01912173271724
23,25.0,33.4
24,26.0,34.46937191188722
25,27.0,34.97010580481563
26,28.0,35.82347275181456
27,29.0,36.67297233658597
28,30.0,37.135589398850264
29,31.0,37.30402123096115
30,32.0,38.57974598153803
31,33.0,39.69492788757778
32,34.0,40.00032999863876
33,35.0,40.0518601315844
34,36.0,41.1
35,37.0,41.727750957845785
36,38.0,42.04130350024842
37,39.0,42.903136248997
38,40.0,43.63943171032364
39,41.0,43.093026117923074
40,42.0,44.71711081901424
41,43.0,45.50862335865588
42,44.0,45.5704246194832
43,45.0,46.55493529154562
44,46.0,46.933723483226856
45,47.0,47.3040167427672
46,48.0,47.596756191992746
47,49.0,48.44
48,50.0,48.436814511278506
49,51.0,49.06161330408938
50,52.0,49.828718626912334
51,53.0,50.01435493935716
52,54.0,51.071861137029266
53,55.0,51.09760757608912
54,56.0,51.11103990333204
55,57.0,52.32035263642629
56,58.0,52.70114989257825
57,59.0,53.15352857525077
58,60.0,53.679549178434804
59,61.0,54.04692775727405
60,62.0,54.96057496060244
61,63.0,55.00516975703284
62,64.0,55.68
63,65.0,55.71020104074297
64,66.0,56.624547680312645
65,67.0,57.21561587538842
66,68.0,57.723478758647246
67,69.0,57.89716832453898
68,70.0,58.48253585473188
69,71.0,58.814525416770984
70,72.0,59.3121168059276
71,73.0,59.80802621722271
72,74.0,59.9582071112871
73,75.0,60.44857318415382
74,76.0,60.937407230698625
75,77.0,60.72275356075349
76,78.0,61.822326064294934
77,79.0,61.861833144516496
78,80.0,62.609903369994115
